Store Name,EAN/PLU,Root Article Code,LU,LV,SV Code,Description,Must Stock,Delisted,Store Selling Price,Cost Price,Vat,Case Qty,Margin %,DRS,Supplier,Article Linking
241 - RIALTO - O'LEARY,5056192407306,1623657,PCK,3,3,CANDY CASTLE COLA ROLLER 60 MLS,Y,,1.90,16.10,23.00%,15,30.52%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,*
241 - RIALTO - O'LEARY,5056192407276,1623657,PCK,4,4,CANDY CASTLE CUTIE SWEET ROLLER 60 MLS,Y,,1.90,16.10,23.00%,15,30.52%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,*
241 - RIALTO - O'LEARY,5060221249393,1623657,PCK,5,5,CANDY CASTLE DUNK'N'DIP 40 GRM,Y,,1.90,21.93,23.00%,20,29.02%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,*
241 - RIALTO - O'LEARY,5056192411907,1623657,PCK,6,6,THE CANDY CASTLE CREW DUNK N DIP 55GRM,Y,,1.90,21.93,23.00%,20,29.02%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,*
241 - RIALTO - O'LEARY,6931722305521,1669761,PCK,0,0,BIG DIPPER GEL,N,,2.25,12.50,23.00%,12,43.06%,N,BTG - BOTANIC MARKETING LTD - 1LOC_SUP,
241 - RIALTO - O'LEARY,5411011320080,1692873,PCK,0,0,FRISIA FLYING SAUCERS CONE 45GRM,N,,2.00,48.83,23.00%,42,28.50%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,
241 - RIALTO - O'LEARY,5056192402691,1693016,PCK,0,0,TANGO SLITZ SPRAY & POWDER 80GRM,Y,,1.90,12.88,23.00%,12,30.52%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,*
241 - RIALTO - O'LEARY,987080,1714931,PCK,0,0,CANDY CHALKS,N,,1.00,0.37,23.00%,1,54.49%,N,BTG - BOTANIC MARKETING LTD - 1LOC_SUP,
241 - RIALTO - O'LEARY,8992741988735,1734601,PCK,1,0,GUMMI ZONE DOUNGHNUTS 11 GRM,N,,1.20,16.50,23.00%,24,29.53%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5906881427736,1745344,PCK,0,0,DISNEY MEGA SURPRISE CORNET CARS 25GRM,N,,4.09,2.60,23.00%,1,21.81%,N,610 - ROSE CONFECTIONERY CO LTD - 1CB_EURY,
