Store Name,Department,Sub Department,Commodity Code,Family Group,EAN/PLU,Root Article Code,LU,LV,SV Code,Description,Size,Must Stock,Delisted,Store Selling Price,Cost Price,Vat,Case Qty,Margin %,DRS,Supplier,Article Linking
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5391502097816,1610759,PCK,0,0,IRISH GOLD GIN TRUFFLES,120GRM,N,,6.50,25.57,23.00%,6,19.36%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5391502097823,1610759,PCK,1,1,IRISH GOLD WHISKEY CHOC TRUFFLES,120GRM,N,,6.50,25.57,23.00%,6,19.36%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5000159514194,1610821,PCK,1,0,MALTESESR TRUFFLES GIFT BOX,200GRM,N,,8.00,29.75,23.00%,6,23.77%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5056357905869,1610821,PCK,2,1,MALTESERS ASSORTED TRUFFLE GIFT BOX,200GRM,N,,9.49,37.38,23.00%,6,19.25%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,980891,1610877,PCK,0,0,LILY O BRIEN'S EXQUISITE COLLECTION,138GRM X 36,N,,10.00,234.70,23.00%,36,19.81%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5390394017674,1611404,PCK,2,2,LILY O BRIEN'S CHRISTMAS DESSERTS COLL,312GRM,N,,17.00,66.43,23.00%,6,19.89%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,1042263-004
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,5390394014543,1611407,PCK,0,0,LILY O BRIENS PETIT INDUL G/W R/R,198GRM,N,,13.00,50.55,23.00%,6,20.29%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,4014400923162,1611654,PCK,0,0,TOFFIFEE BOX,250GRM,N,,4.50,43.88,23.00%,15,20.04%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,4014400905359,1611654,PCK,1,1,TOFFIFEE BOX 30 PIECE,250GRM,N,,4.50,43.88,23.00%,15,20.04%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,
441 - CAMDEN ST - O'LEARY,D0024 - GROCERY - IMPULSE,S0006 - TAKE HOME CONFECTIONERY,C0029 - BOXED CONFECTIONERY,F0131 - BOXED CHOCOLATE,7622201755270,1612353,PCK,1,1,CADBURY FREDDO AND FRIENDS POUCH,300G,Y,,6.50,39.20,23.00%,8,7.28%,N,AUTODROP - AUTODROP MRPI - 1AMBIENT,*
