Store Name,EAN/PLU,Root Article Code,LU,LV,SV Code,Description,Must Stock,Delisted,Store Selling Price,Cost Price,Vat,Case Qty,Margin %,DRS,Supplier,Article Linking
241 - RIALTO - O'LEARY,5034033000800,1031690,PCK,6,6,VIT HIT APPLE & ELDERFLOWER 500ML M,N,,2.90,18.32,23.00%,12,35.25%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5034033000824,1031690,PCK,7,7,VIT HIT ORANGE MANGO & PASSIONFRUIT 500ML,N,,2.90,18.32,23.00%,12,35.25%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5034033000770,1031907,PCK,2,2,VIT HIT REVIVE CITRUS 500ML,N,,2.90,18.32,23.00%,12,35.25%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5034033000831,1031907,PCK,3,3,VIT HIT THE HYDRATER LIME & GUAVA 500ML,N,,2.90,18.32,23.00%,12,35.25%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5027605441231,1051912,PCK,0,0,SNAPPLE CRANBERRY+RASPBERRY 1PCE,N,,2.00,11.72,23.00%,12,39.93%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5054267002319,1118332,PCK,0,0,RIBENA STRAWBERRY 500MLS,N,,2.50,16.02,23.00%,12,34.32%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,884394000279,1165322,PCK,0,0,OKF ALOE VERA KING 500MLS,N,,2.15,26.72,23.00%,24,36.31%,N,MKD - M&D MKTG/DISTRIB LTD (AMB) - 1LOC_SUP,
241 - RIALTO - O'LEARY,4062139010738,1209993,PCK,5,3,LIPTON ICE TEA LEMON 500MLS,N,,2.95,31.89,23.00%,24,44.60%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,4062139010721,1209995,PCK,3,1,LIPTON ICE TEA PEACH 500MLS,N,,2.95,31.89,23.00%,24,44.60%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,1227049,,PCK,0,0,VIT HIT GREEN APPLE LEAN 500MLS,Y,,1.99,1.09,23.00%,1,32.63%,N,VZD - VITZ DRINKS LTD - 1LOC_SUP,
241 - RIALTO - O'LEARY,5034033000817,1372719,PCK,2,1,VIT HIT DRAGONFRUIT & YUZU 500ML,N,,2.90,18.32,23.00%,12,35.25%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,8809041425917,1433155,PCK,0,0,OKF ALOE VERA KING STRAWBERRY 1PCE,N,,2.45,26.72,23.00%,20,32.93%,N,MKD - M&D MKTG/DISTRIB LTD (AMB) - 1LOC_SUP,
241 - RIALTO - O'LEARY,4062139010745,1434374,PCK,2,1,LIPTON ICE TEA RASPBERRY 500MLS,N,,2.20,15.94,23.00%,12,25.73%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,880911163113,1467534,PCK,0,0,ALOE VERA MANGO TASTE 1.5LTR,N,,2.69,17.14,23.00%,12,34.69%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,8809111635116,1467539,PCK,0,0,ALOE VERA ORIGINAL 1.5LTR,N,,2.69,17.13,23.00%,12,34.73%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,880911163489,1467545,PCK,0,0,ALOE VERA STRAWBERRY TASTE 1.5LTR,N,,2.69,17.14,23.00%,12,34.69%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5010102105379,1500288,PCK,0,0,ROBINSIONS FRUIT SHOOT L/S AP&BCRR 300MLS,N,,0.99,10.84,23.00%,24,43.88%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5000112666960,1500383,PCK,3,3,OASIS ZERO SUMMER FRUITS BOTTLE 500MLS,N,,2.80,32.24,23.00%,24,40.99%,Y,UNAVAIL - UNAVAILABLE MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5391521837752,1511377,PCK,2,2,ROBINSONS FRUIT SHOOT SUMMER FRUITS 275ML,N,,1.65,20.93,23.00%,24,34.99%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,1511377-000
241 - RIALTO - O'LEARY,5010102243705,1593686,PCK,3,1,ROBINSONS REFRESHD RASP & APPLE 500MLS,N,,2.90,34.87,23.00%,24,38.38%,Y,DELIST - DELISTED MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5392001003322,1662184,PCK,2,2,POWER FRUIT CRANBERRY 750ML,N,,3.25,10.21,23.00%,6,35.60%,Y,SSY - 5 STAR DRINKS LTD - 1CB_EURY,1662184-000
241 - RIALTO - O'LEARY,8809041429885,1721008,PCK,0,0,OKF IMPERIAL ALOE DRINK SUPERFOOD 500ML,N,,2.66,1.60,23.00%,1,26.02%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,7037120023070,1778548,PCK,0,0,CARPE DIEM LEMON-GINGER KOMBUCHA 500MLS,N,,2.50,14.40,23.00%,12,40.96%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5099839729270,1910787,PCK,0,0,THP VITA VIBE APPLE EFLOWER & LIME 500MLS,N,,2.50,9.53,23.00%,12,60.93%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5099839729287,1911044,PCK,0,0,THP VITA VIBE ORANGE MAND & GINGER 500MLS,N,,2.50,9.53,23.00%,12,60.93%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5099839729263,1911053,PCK,0,0,THP VITA VIBE RBERY PINK GFRUIT APP 500MLS,N,,2.50,9.53,23.00%,12,60.93%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,1935079,,PCK,0,0,LIPTON MANGO TEA PET,N,,2.80,17.40,23.00%,12,36.30%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5054267006102,1556703,PCK,1,0,RIBENA BLACKCURRANT TETRA 250MLS,N,,1.65,17.11,23.00%,24,46.86%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5054267006119,1556703,PCK,2,1,RIBENA STRAWBERRY TETRA 250MLS,N,,1.20,17.11,23.00%,24,26.93%,N,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5038862008884,1960584,PCK,0,0,INNOCENT KIDS APLES&SBERRIES WATER 200MLS,N,,2.30,19.40,23.00%,30,65.42%,N,CHILLED - CHILLED MRPI - 1_DAIRY,
241 - RIALTO - O'LEARY,5038862008914,1960584,PCK,1,1,INNOCENT KIDS APPLES &MANGOES WATER 200MLS,N,,2.30,19.40,23.00%,30,65.42%,N,CHILLED - CHILLED MRPI - 1_DAIRY,
241 - RIALTO - O'LEARY,5034033000961,1702107,PCK,3,3,VIT HIT MANGO PINEAPPLE SPRK CAN 330MLS,N,,2.25,14.99,23.00%,12,31.71%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,1702107-001
241 - RIALTO - O'LEARY,5034033000947,1702107,PCK,4,4,VIT HIT PINK GFRUIT LIME & TEA CAN 330MLS,N,,2.25,14.99,23.00%,12,31.71%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,1702107-002
241 - RIALTO - O'LEARY,5034033000954,1930355,PCK,0,0,VIT.HIT RASPBERRY WATERMELON,N,,2.25,14.99,23.00%,12,31.71%,Y,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5019547001116,1516733,PCK,0,0,SPARKLING ICE ORANGE MANGO 500ML,N,,2.15,13.03,23.00%,12,37.88%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5019547001093,1516733,PCK,1,1,SPARKLING ICE BLACK RASPBERRY 500ML,N,,2.10,14.73,23.00%,12,28.10%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5019547001109,1516733,PCK,3,3,SPARKLING ICE KIWI STRAWBERRY 500MLS,N,,2.15,13.03,23.00%,12,37.88%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5019547002052,1516733,PCK,5,5,SPARKLING ICE LEMON LIME 500MLS,Y,,2.15,13.03,23.00%,12,37.88%,Y,DELIST - DELISTED MRPI - 1AMBIENT,*
241 - RIALTO - O'LEARY,5019547002038,1516733,PCK,6,6,SPARKLING ICE STRAWB WATERMELON 500ML,N,,2.15,13.03,23.00%,12,37.88%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,1701028,,PCK,0,0,SPARKLING ICE LEMON & LIME,Y,,1.75,10.47,23.00%,12,38.68%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,8809041429823,1752890,PCK,0,0,OKF WATERMELON CAN,N,,2.45,22.35,23.00%,24,53.25%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,8809713910192,1752896,PCK,0,0,OKF SPARKLING STRAWBERRY CLEAR CAN,N,,2.45,22.35,23.00%,24,53.25%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,8809713914336,1831727,PCK,0,0,OKF BLUE LEMONADE,N,,2.45,23.35,23.00%,24,51.16%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5099483970172,1956152,PCK,0,0,BALLYGOWAN HOF ORANGE SPARKLING WTR 500MLS,N,,2.00,24.02,23.00%,24,38.45%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5099483970202,1956159,PCK,0,0,BALLYGOWAN HOF SBERRY SPARKLING WTR 500MLS,N,,2.00,24.02,23.00%,24,38.45%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5099483970141,1969828,PCK,0,0,BALLYGOWAN HOF SUMMERFRUIT SPRK WTR 500MLS,N,,2.00,24.02,23.00%,24,38.45%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,3057640372513,1026346,PCK,1,1,VOLVIC TOUCH OF FRUIT STRAWBERRY 500MLS,Y,,1.37,13.49,23.00%,24,49.54%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,3057640393648,1157470,PCK,1,1,VOLVIC TOUCH OF FRUIT ORANGE&PEACH 500MLS,Y,,1.10,13.49,23.00%,24,37.15%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,1223949,,PCK,0,0,KOH COCONUT WATER 1LTR,N,,3.85,27.72,23.00%,12,26.20%,N,EPR - EXTENDED PROMOTIONS - 1LOC_SUP,
241 - RIALTO - O'LEARY,3057640373183,1475310,PCK,0,0,TOUCH OF FRUIT LEMON&LIME 500MLS,N,,1.40,10.98,23.00%,24,59.81%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,3057640407253,1510019,PCK,0,0,VOLVIC TOF SUMMER FRUITS 500MLS,N,,1.10,13.49,23.00%,24,37.15%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5023603333653,1534457,PCK,0,0,AQUA WATER 6PK,N,,2.20,5.50,23.00%,6,48.75%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5023603333196,1535282,PCK,0,0,AQUA ZEST STRAW & KIWI WATER 1PCE,N,,2.20,5.20,23.00%,24,87.89%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5391521841001,1807121,PCK,9,4,BALLYGOWAN HINT FRUIT SUMMER FRUITS 750MLS,N,,2.60,14.97,23.00%,15,52.79%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5391521841049,1807121,PCK,10,5,BALLYGOWAN HINT OF FRUIT PEACH 750MLS,N,,2.60,14.97,23.00%,15,52.79%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5391521840981,1807121,PCK,11,6,BALLYGOWAN HINT OF FRUIT STRAWBERRY 750MLS,N,,2.60,14.97,23.00%,15,52.79%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5391521841025,1807121,PCK,12,7,BALLYGOWAN HOF MANGO PASSIONFRUIT 750MLS,N,,2.60,14.97,23.00%,15,52.79%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5391521841063,1807121,PCK,8,8,BALLYGOWAN HINT OF FRUIT WATERMELON 750MLS,N,,1.80,14.97,23.00%,15,31.80%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5099483970028,1807121,PCK,13,9,BALLYGOWAN HOF APPLE BOTTLE 750MLS,N,,1.80,14.97,23.00%,15,31.80%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5011020104840,1815301,PCK,4,4,RR VITAL MANGO PFRUIT 450ML,N,,2.60,17.62,23.00%,15,44.43%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5011020104871,1815301,PCK,5,5,DEEP RIVER ROCK APPLE & PEAR STILL 750MLS,N,,2.85,12.04,23.00%,15,65.36%,Y,UNAVAIL - UNAVAILABLE MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5011020104888,1815301,PCK,6,6,DEEP RIVER ROCK MANDARIN STILL WTR 750MLS,Y,,2.85,12.04,23.00%,15,65.36%,Y,DELIST - DELISTED MRPI - 1AMBIENT,*
241 - RIALTO - O'LEARY,5011020104901,1815301,PCK,7,7,RIVER ROCK TROPICAL FRUIT SPORTS 750ML,N,,2.80,12.04,23.00%,15,64.74%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5011020105045,1815301,PCK,8,8,DEEP RIVER ROCK APRICOT STILL WATER 750MLS,N,,2.80,12.04,23.00%,15,64.74%,Y,UNAVAIL - UNAVAILABLE MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5011020104864,1815419,PCK,2,2,RIVER ROCK VITAL PEAR REDCURRANT 450MLS,N,,2.60,16.10,23.00%,15,49.22%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5011020104833,1815419,PCK,3,3,RIVER ROCK VITAL GUAVA LIME & G TEA 450MLS,N,,2.60,17.61,23.00%,15,44.46%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5011020105038,1815419,PCK,5,5,RIVER ROCK VITAL PINEAPPLE YUZU COF 450MLS,N,,2.60,16.10,23.00%,15,49.22%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5011020104895,1859975,PCK,1,1,RIVER ROCK WMELON & PEACH STILL WTR 750MLS,N,,2.85,12.04,23.00%,15,65.36%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,2000000319001,1223946,PCK,0,0,KOH COCONUT WATER 250ML,Y,,1.35,18.90,23.00%,24,28.25%,N,EPR - EXTENDED PROMOTIONS - 1LOC_SUP,
241 - RIALTO - O'LEARY,884394006974,1431380,PCK,0,0,OKF COCO NATURAL 500MLS,N,,2.32,1.17,23.00%,1,37.97%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5999885917693,1932660,PCK,0,0,VIWA VITAMINWATER GUAVA ORANGE 600MLS,N,,1.75,1.19,23.00%,1,16.36%,Y,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5999885917617,1932663,PCK,0,0,VIWA VITAMINWATER LEMON 600MLS,N,,1.75,1.19,23.00%,1,16.36%,Y,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5999885917679,1932665,PCK,0,0,VIWA VITAMINWATER ORANGE PASSION FRUIT 600MLS,N,,1.75,1.19,23.00%,1,16.36%,Y,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5999885917716,1933079,PCK,0,0,VIVA BRAIN BOOST,N,,1.75,1.19,23.00%,1,16.36%,Y,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5999885917655,1984193,PCK,0,0,VIWA VITAMIN RASBERRY HIBISCUS 600MLS,N,,1.75,25.00,23.00%,24,26.79%,Y,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5391521836755,1004873,PCK,1,1,BALLYGOWAN SPARKLING WATER 500MLS,N,,1.85,15.47,23.00%,24,57.14%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5011020104796,1006139,PCK,1,1,RIVER ROCK SPARKLING WATER 500MLS,N,,2.25,14.40,23.00%,24,67.20%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5099839727283,1025943,PCK,1,1,CENTRA SPARKLING WATER 500ML,N,,1.75,14.80,23.00%,24,56.66%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5391521836823,1008371,PCK,1,1,BALLYGOWAN STILL WATER 500MLS,N,,1.85,15.17,23.00%,24,57.98%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,3057640590078,1008673,PCK,1,1,VOLVIC STILL NATURAL MINERAL WATER 500MLS,N,,1.90,13.82,23.00%,24,62.72%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,3057640590658,1018294,PCK,1,1,VOLVIC STILL NATURAL MINERAL WATER 1LTR M,N,,2.75,11.64,23.00%,12,56.61%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5391521836809,1019740,PCK,1,1,BALLYGOWAN STILL WATER 1LTR M,N,,2.50,11.48,23.00%,12,52.93%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5011020104741,1024483,PCK,1,1,DEEP RIVER ROCK STILL WATER SPORTS 750MLS,N,,2.25,9.82,23.00%,15,64.21%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,3068320130743,1024876,PCK,2,1,EVIAN STILL NATURAL MINERAL WATER 750MLS,N,,2.95,17.99,23.00%,12,37.49%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5011020104727,1025255,PCK,1,1,DEEP RIVER ROCK STILL WATER 500MLS,N,,1.85,12.06,23.00%,24,66.59%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5099651001448,1175117,PCK,1,1,CENTRA STILL WATER 1LTR M,N,,1.85,6.42,23.00%,12,64.43%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5099651001431,1175263,PCK,1,1,CENTRA STILL WATER 500MLS M,N,,1.50,10.96,23.00%,24,62.55%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5391521836878,1249952,PCK,1,1,BALLYGOWAN STILL WATER 750MLS,N,,2.50,10.76,23.00%,15,64.71%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,3068320080000,1386085,PCK,0,0,EVIAN 1LTR,N,,2.20,1.52,23.00%,1,15.02%,N,LAS - LOCAL STORE AMBIENT - 1LOC_SUP,
241 - RIALTO - O'LEARY,5011020104765,1452117,PCK,2,1,DEEP RIVER ROCK STILL WATER 1LTR,N,,2.50,12.85,23.00%,12,47.32%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,9417574000083,1519944,PCK,0,0,FIJI WATER BOTTLE 500MLS,N,,2.50,30.73,23.00%,24,37.00%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,5060477670002,1623489,PCK,0,0,ACTIPH WATER 600MLS,N,,1.75,23.84,23.00%,24,30.18%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
241 - RIALTO - O'LEARY,3057640589423,1702753,PCK,3,3,VOLVIC TOUCH OF FRUIT LEMON LIME 750MLS,N,,2.80,8.18,23.00%,6,40.11%,Y,AMBIENT - AMBIENT MRPI - 1AMBIENT,
